Month,Year,Revenue,Recession,AR_Delay,Other_Expenses,COGS,OPEX_Variable,OPEX_Fixed,Total_Expenses,Cash_Collected,Net_Cash_Flow,Cash_Start,Cash_End,Shortage_Alert
36,3,53279.947356818164,0,1,437,26639.973678409082,5327.994735681817,15000,47404.968414090894,65434.520576530485,18030.0,283464.0,301494.0,0
37,4,59016.09797950162,0,3,2732,29508.04898975081,5901.609797950162,15000,53141.65878770097,51000.85559961827,-2141.0,301494.0,299353.0,0
38,4,53302.77712198798,0,1,2428,26651.38856099399,5330.277712198798,15000,49409.666273192786,59016.09797950162,9606.0,299353.0,308959.0,0
39,4,45343.45304322802,0,2,1952,22671.72652161401,4534.345304322803,15000,44158.071825936815,59016.09797950162,14858.0,308959.0,323817.0,0
40,4,51513.45903938863,0,2,2638,25756.729519694316,5151.345903938864,15000,48546.07542363318,53302.77712198798,4757.0,323817.0,328574.0,0
41,4,55165.75775718019,0,3,2544,27582.878878590094,5516.575775718019,15000,50643.454654308116,53302.77712198798,2659.0,328574.0,331233.0,0
42,4,52932.74617134861,0,3,2686,26466.373085674306,5293.274617134862,15000,49445.64770280917,45343.45304322802,-4102.0,331233.0,327131.0,0
43,4,52015.07295695826,0,0,1301,26007.53647847913,5201.5072956958265,15000,47510.043774174956,52015.07295695826,4505.0,327131.0,331636.0,0
44,4,48514.31882215589,0,0,2446,24257.159411077944,4851.431882215589,15000,46554.59129329353,48514.31882215589,1960.0,331636.0,333596.0,0
45,4,39606.26255763474,0,1,2160,19803.13127881737,3960.6262557634745,15000,40923.757534580844,48514.31882215589,7591.0,333596.0,341187.0,0
46,4,50143.51172141801,0,0,1,25071.755860709007,5014.351172141802,15000,45087.10703285081,50143.51172141801,5056.0,341187.0,346243.0,0
47,4,62069.898355881676,0,0,2886,31034.949177940838,6206.989835588168,15000,55127.93901352901,62069.898355881676,6942.0,346243.0,353185.0,0
48,4,51307.33436422188,0,3,409,25653.66718211094,5130.733436422189,15000,46193.40061853313,39606.26255763474,-6587.0,353185.0,346598.0,0
49,5,45772.06600215997,1,0,1069,22886.033001079984,4577.206600215997,15000,43532.23960129598,45772.06600215997,2240.0,346598.0,348838.0,0
50,5,39901.08177764583,1,3,1952,19950.540888822914,3990.108177764583,15000,40892.649066587495,62069.898355881676,21177.0,348838.0,370015.0,0
51,5,37300.879930869785,1,0,1274,18650.439965434893,3730.0879930869787,15000,38654.52795852187,37300.879930869785,-1354.0,370015.0,368661.0,0
52,5,38163.76626167654,1,2,169,19081.88313083827,3816.3766261676537,15000,38067.25975700592,39901.08177764583,1834.0,368661.0,370495.0,0
53,5,43616.60826656721,1,1,2794,21808.304133283604,4361.660826656721,15000,43963.96495994032,38163.76626167654,-5800.0,370495.0,364695.0,0
54,5,43460.2167522182,1,3,2639,21730.1083761091,4346.02167522182,15000,43715.13005133092,37300.879930869785,-6414.0,364695.0,358281.0,0
55,5,40601.64069494411,1,3,2070,20300.820347472054,4060.164069494411,15000,41430.984416966465,38163.76626167654,-3267.0,358281.0,355014.0,0
56,5,33267.12235291651,1,0,494,16633.561176458254,3326.712235291651,15000,35454.273411749906,33267.12235291651,-2187.0,355014.0,352827.0,0
57,5,34000.7936538454,1,3,1374,17000.3968269227,3400.0793653845403,15000,36774.47619230724,43460.2167522182,6686.0,352827.0,359513.0,0
58,5,38959.28037337473,1,1,1511,19479.640186687364,3895.928037337473,15000,39886.568224024835,34000.7936538454,-5886.0,359513.0,353627.0,0
59,5,43706.96065045695,1,3,2887,21853.480325228476,4370.696065045696,15000,44111.17639027417,33267.12235291651,-10844.0,353627.0,342783.0,0
60,5,41168.83691831815,1,3,297,20584.418459159075,4116.883691831815,15000,39998.30215099089,34000.7936538454,-5998.0,342783.0,336785.0,0
61,6,43492.83955731217,1,0,676,21746.419778656084,4349.283955731217,15000,41771.7037343873,43492.83955731217,1721.0,336785.0,338506.0,0
62,6,43020.69859702108,1,3,671,21510.34929851054,4302.069859702108,15000,41483.41915821265,43706.96065045695,2224.0,338506.0,340730.0,0
63,6,39234.7017286934,1,0,511,19617.3508643467,3923.47017286934,15000,39051.82103721604,39234.7017286934,183.0,340730.0,340913.0,0
64,6,37834.07236760073,1,3,1174,18917.036183800366,3783.4072367600734,15000,38874.44342056044,43492.83955731217,4618.0,340913.0,345531.0,0
65,6,47626.745685949776,1,1,2528,23813.372842974888,4762.674568594978,15000,46104.04741156987,37834.07236760073,-8270.0,345531.0,337261.0,0
66,6,47263.05908535968,1,3,387,23631.52954267984,4726.305908535968,15000,43744.83545121581,39234.7017286934,-4510.0,337261.0,332751.0,0
67,6,38596.8639715003,1,2,2444,19298.43198575015,3859.68639715003,15000,40602.11838290018,47626.745685949776,7025.0,332751.0,339776.0,0
68,6,33246.56226980156,1,3,1918,16623.28113490078,3324.656226980156,15000,36865.93736188093,47626.745685949776,10761.0,339776.0,350537.0,0
69,6,30947.48677549127,1,2,1863,15473.743387745635,3094.748677549127,15000,35431.49206529476,38596.8639715003,3165.0,350537.0,353702.0,0
70,6,43156.33268366974,1,1,2569,21578.16634183487,4315.633268366974,15000,43462.799610201844,30947.48677549127,-12515.0,353702.0,341187.0,0
71,6,50997.75259114718,1,3,2263,25498.87629557359,5099.775259114718,15000,47861.65155468831,33246.56226980156,-14615.0,341187.0,326572.0,0
72,6,45498.291698936,1,2,223,22749.145849468,4549.8291698936,15000,42521.975019361606,43156.33268366974,634.0,326572.0,327206.0,0
73,7,56669.444738240076,0,2,2937,28334.722369120038,5666.944473824008,15000,51938.66684294405,50997.75259114718,-941.0,327206.0,326265.0,0
74,7,49245.689435617845,0,2,2238,24622.844717808923,4924.568943561785,15000,46785.41366137071,45498.291698936,-1287.0,326265.0,324978.0,0
75,7,46409.35802579574,0,2,1368,23204.67901289787,4640.935802579574,15000,44213.61481547744,56669.444738240076,12456.0,324978.0,337434.0,0
76,7,44737.034239178785,0,1,2124,22368.517119589393,4473.703423917878,15000,43966.22054350727,46409.35802579574,2443.0,337434.0,339877.0,0
77,7,61919.09422640601,0,2,93,30959.547113203003,6191.909422640601,15000,52244.45653584361,46409.35802579574,-5835.0,339877.0,334042.0,0
78,7,57840.66908565966,0,1,979,28920.33454282983,5784.0669085659665,15000,50683.401451395795,61919.09422640601,11236.0,334042.0,345278.0,0
79,7,52485.20369850492,0,1,2271,26242.60184925246,5248.520369850492,15000,48762.12221910295,57840.66908565966,9079.0,345278.0,354357.0,0
80,7,41343.811702823325,0,2,1007,20671.905851411662,4134.381170282332,15000,40813.28702169399,57840.66908565966,17027.0,354357.0,371384.0,0
81,7,44918.43572479307,0,2,2047,22459.217862396534,4491.843572479307,15000,43998.06143487584,52485.20369850492,8487.0,371384.0,379871.0,0
82,7,54466.041394555235,0,2,1732,27233.020697277618,5446.604139455524,15000,49411.62483673314,41343.811702823325,-8068.0,379871.0,371803.0,0
83,7,62340.941958097224,0,1,2501,31170.470979048612,6234.094195809723,15000,54905.56517485833,54466.041394555235,-440.0,371803.0,371363.0,0
84,7,54965.53171556417,0,0,1901,27482.765857782084,5496.5531715564175,15000,49880.3190293385,54965.53171556417,5085.0,371363.0,376448.0,0
85,8,60228.97239737553,0,2,1467,30114.486198687766,6022.897239737554,15000,52604.38343842532,62340.941958097224,9737.0,376448.0,386185.0,0
86,8,47035.276206015216,0,0,519,23517.638103007608,4703.527620601521,15000,43740.16572360913,47035.276206015216,3295.0,386185.0,389480.0,0
87,8,43191.1836868753,0,1,936,21595.59184343765,4319.11836868753,15000,41850.71021212518,47035.276206015216,5185.0,389480.0,394665.0,0
88,8,44912.73098154484,0,2,2929,22456.36549077242,4491.273098154484,15000,44876.6385889269,47035.276206015216,2159.0,394665.0,396824.0,0
89,8,54578.02662530416,0,2,2121,27289.01331265208,5457.8026625304165,15000,49867.8159751825,43191.1836868753,-6677.0,396824.0,390147.0,0
90,8,62145.67061070504,0,1,854,31072.83530535252,6214.567061070505,15000,53141.402366423026,54578.02662530416,1437.0,390147.0,391584.0,0
91,8,45801.03538674133,0,2,2062,22900.517693370664,4580.103538674133,15000,44542.621232044796,54578.02662530416,10035.0,391584.0,401619.0,0
92,8,45964.946446074886,0,2,1585,22982.473223037443,4596.494644607489,15000,44163.96786764493,62145.67061070504,17982.0,401619.0,419601.0,0
93,8,43612.19698086786,0,1,2657,21806.09849043393,4361.219698086787,15000,43824.318188520716,45964.946446074886,2141.0,419601.0,421742.0,0
94,8,51218.39028491223,0,1,1766,25609.195142456116,5121.839028491224,15000,47497.03417094734,43612.19698086786,-3885.0,421742.0,417857.0,0
95,8,54158.89213303676,0,2,153,27079.44606651838,5415.889213303676,15000,47648.33527982206,43612.19698086786,-4036.0,417857.0,413821.0,0
96,8,58764.413530360194,0,2,17,29382.206765180097,5876.44135303602,15000,50275.648118216115,51218.39028491223,943.0,413821.0,414764.0,0
97,9,53734.31520668689,0,0,672,26867.157603343447,5373.43152066869,15000,47912.589124012135,53734.31520668689,5822.0,414764.0,420586.0,0
98,9,50516.65845076354,0,2,378,25258.32922538177,5051.665845076354,15000,45687.99507045813,58764.413530360194,13076.0,420586.0,433662.0,0
99,9,46894.84326057196,0,0,865,23447.42163028598,4689.484326057196,15000,44001.90595634317,46894.84326057196,2893.0,433662.0,436555.0,0
100,9,49165.14908183078,0,2,2426,24582.57454091539,4916.514908183079,15000,46925.089449098465,50516.65845076354,3592.0,436555.0,440147.0,0
101,9,62334.775977269346,0,2,1768,31167.387988634673,6233.477597726935,15000,54168.86558636161,46894.84326057196,-7274.0,440147.0,432873.0,0
102,9,55688.252830413,0,2,1947,27844.1264152065,5568.8252830413,15000,50359.9516982478,49165.14908183078,-1195.0,432873.0,431678.0,0
103,9,49123.90563672361,0,1,1037,24561.952818361806,4912.390563672361,15000,45511.34338203417,55688.252830413,10177.0,431678.0,441855.0,0
104,9,42658.11868986068,0,1,1244,21329.05934493034,4265.8118689860685,15000,41838.87121391641,49123.90563672361,7285.0,441855.0,449140.0,0
105,9,46485.10579762669,0,1,402,23242.552898813345,4648.510579762669,15000,43293.06347857601,42658.11868986068,-635.0,449140.0,448505.0,0
106,9,50279.84857995626,0,2,1246,25139.92428997813,5027.984857995627,15000,46413.909147973754,42658.11868986068,-3756.0,448505.0,444749.0,0
107,9,55767.73935232862,0,0,944,27883.86967616431,5576.773935232863,15000,49404.64361139717,55767.73935232862,6363.0,444749.0,451112.0,0
108,9,50922.74483838584,0,1,1217,25461.37241919292,5092.274483838584,15000,46770.646903031506,55767.73935232862,8997.0,451112.0,460109.0,0
109,10,59884.616555073066,0,2,2028,29942.308277536533,5988.461655507307,15000,52958.76993304384,55767.73935232862,2809.0,460109.0,462918.0,0
110,10,48514.34264513224,0,0,1698,24257.17132256612,4851.434264513224,15000,45806.60558707934,48514.34264513224,2708.0,462918.0,465626.0,0
111,10,47102.10851851225,0,2,504,23551.054259256125,4710.210851851225,15000,43765.26511110735,59884.616555073066,16119.0,465626.0,481745.0,0
112,10,51431.9505042679,0,2,645,25715.97525213395,5143.195050426791,15000,46504.17030256074,48514.34264513224,2010.0,481745.0,483755.0,0
113,10,62411.84993056905,0,2,2259,31205.924965284525,6241.184993056905,15000,54706.10995834143,47102.10851851225,-7604.0,483755.0,476151.0,0
114,10,56218.10962854923,0,2,2459,28109.054814274616,5621.810962854924,15000,51189.86577712954,51431.9505042679,242.0,476151.0,476393.0,0
115,10,54422.592888574916,0,0,1690,27211.296444287458,5442.259288857492,15000,49343.55573314495,54422.592888574916,5079.0,476393.0,481472.0,0
116,10,47128.42198141073,0,2,2452,23564.210990705364,4712.842198141073,15000,45729.05318884643,56218.10962854923,10489.0,481472.0,491961.0,0
117,10,40276.947297952946,0,2,2903,20138.473648976473,4027.6947297952947,15000,42069.16837877176,54422.592888574916,12353.0,491961.0,504314.0,0
118,10,55899.624146837035,0,0,243,27949.812073418518,5589.962414683704,15000,48782.77448810222,55899.624146837035,7117.0,504314.0,511431.0,0
119,10,63127.36134218727,0,2,627,31563.680671093636,6312.736134218728,15000,53503.416805312365,40276.947297952946,-13226.0,511431.0,498205.0,0
120,10,53841.79981440927,0,2,2900,26920.899907204635,5384.179981440928,15000,50205.07988864556,55899.624146837035,5695.0,498205.0,503900.0,0
